Genus	g__Methanobrevibacter	g__Actinomyces	g__Bifidobacterium	g__Parascardovia	g__Rothia	g__Cutibacterium	g__Propionibacterium	g__Olsenella	g__Collinsella	g__Adlercreutzia	g__Asaccharobacter	g__Eggerthella	g__Gordonibacter	g__Slackia	g__Bacteroides	g__Bacteroidales_unclassified	g__Barnesiella	g__Coprobacter	g__Butyricimonas	g__Odoribacter	g__Porphyromonas	g__Alloprevotella	g__Paraprevotella	g__Prevotella	g__Alistipes	g__Parabacteroides	g__Gemella	g__Aerococcus	g__Enterococcus	g__Lactobacillus	g__Lactococcus	g__Streptococcus	g__Catabacter	g__Christensenella	g__Clostridium	g__Hungatella	g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	g__Mogibacterium	g__Clostridiales_unclassified	g__Intestinimonas	g__Lawsonibacter	g__Monoglobus	g__Eubacterium	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Dorea	g__Eisenbergiella	g__Fusicatenibacter	g__Lachnoclostridium	g__Lachnospira	g__Lachnospiraceae_unclassified	g__Roseburia	g__Sellimonas	g__Tyzzerella	g__Oscillibacter	g__Intestinibacter	g__Peptostreptococcus	g__Agathobaculum	g__Anaeromassilibacillus	g__Anaerotruncus	g__Faecalibacterium	g__Flavonifractor	g__Gemmiger	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Catenibacterium	g__Coprobacillus	g__Dielma	g__Erysipelatoclostridium	g__Erysipelothrix	g__Holdemanella	g__Holdemania	g__Turicibacter	g__Firmicutes_unclassified	g__Phascolarctobacterium	g__Mitsuokella	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Parvimonas	g__Tissierellia_unclassified	g__Fusobacterium	g__Victivallis	g__Ralstonia	g__Comamonas	g__Oxalobacter	g__Parasutterella	g__Sutterella	g__Turicimonas	g__Bilophila	g__Bilophila	g__Desulfovibrio	g__Desulfovibrionaceae_unclassified	g__Desulfovibrio	g__Citrobacter	g__Enterobacter	g__Escherichia	g__Klebsiella	g__Haemophilus	g__Acinetobacter	g__Proteobacteria_unclassified	g__Akkermansia	g__Blastocystis
S2146	0	0	0	0	0	0	0	0	0.0002658	0	0	2.35E-05	0	2.12E-05	0.777539178	0	0.019651702	2.03E-05	0	0	0	0	0	0.0001383	0.0012116	0.018060602	0	0	0	0	0	0.0002291	0	0	0	0.0013131	0	0	0	3.39E-05	0.0003885	0.0004907	0.0028486	0.0003466	0.008941101	0	0.0003362	0.0028569	0.0004175	0.0007489	0.0001673	0	0	0.016304102	0	0	0.0011572	9.22E-05	0	0.0002869	0.0001028	9.92E-05	0.031209703	0.0039661	0.0002609	0.022786102	0.080367008	0.0043913	0	0	0	0	0	0.0002361	0.00075	0.000259	0.0016293	0	0	0	0	0	5.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S2148	0	0	0.008785	0	0	0	0	0.003012	0.020712	0	0	0	0	0	0.1229208	0	0.0792656	0.0001614	0.0017473	0.0042153	0	0	0.0020824	0.3579755	0.0422105	0.0147497	0	0	0	0.000411	0	0.0010025	0	0	0	0	0	0	0	0	0	0	0.0613499	0	0.0078061	0	0.0014291	0.0047101	0	0.0005707	8.70E-06	0.0016756	0.0281421	0.0619554	0	0	0.0019439	0	0	0.0022424	0.0003875	0	0.0244458	0	0.0082793	0.0012014	0.0253441	0.0013036	0	0	0	0	0	6.15E-05	0	0	0.0053593	0	0	0.000164	0.0827288	0	0	0	0	0	0	0	0	8.68E-05	0.0002897	0	0	0	0	0	0	0	0	0	0.0142395	0	0.004793	0	0	0.0002307	0
S2216	0	0.0001424	0	0	0	9.70E-05	0	0	0	0	0	0.0006303	0.0008225	0	0.639166828	0.0001643	0	0	0.001414	0.011561002	0.0006609	0	0	0.003580701	0.204468941	0.022250404	0	0	0	0	0	0.0004607	0	0	1.29E-05	0.0019094	0	0	0.011467402	0	5.22E-05	0	0.0017673	0.0003018	0.0022243	0	0.0004462	0.0009103	0.0001216	0.0009568	0.0012021	0	0.000717	6.86E-05	0	0	0.0003474	0.000115	0	0	0	5.21E-05	0.009538402	0.0011349	0.0016766	0	0.024333205	0.029053106	0	0	0.0001106	6.02E-05	0	0	0.0002668	0	0.006520901	0	0	0	0	0	0	6.13E-05	0	0	0	0	0	0	6.12E-05	0	0	0	0	0	0	0	0	0	0.019090404	0	0	0	0	0	0
S2221	0	0	0.009168899	0	0	0.0005301	0	0	0.021183398	0.0007104	0.0006685	0.0001955	0.0010495	0	0.383332462	0	0	0.0015407	0.0012052	0.008189899	0	0	0	0.0002798	0.312015469	0.012348499	0	0	0.0002201	0	0	0.0033341	0	0	0	0.0004218	0	0	0	0	1.45E-05	0	0.009241399	0.0037461	0.006582399	0	0.0009991	0.0012715	0.0001595	0.0030304	3.99E-05	0	0.012265899	0.010869799	0.0005318	0.0003437	0.0006897	0.0007108	0	0	0.0001537	0.006269599	0.022621098	0.0011632	0.0002628	0.0002559	0.093604491	0.021253398	0	0	0	3.30E-05	0	0	0.0001269	0	0.0046089	0.0041796	0	0	0	0	0.0001001	1.66E-05	0	0	0	0	0	0	0	0.0003212	0	0	0	0	0	0	0	0	0.005763299	0	0.0002682	0.0007468	0	0.031360397	0
S2269	0	0	0.002634799	0	0.0007816	0	0	0	0.001792499	8.70E-06	5.30E-05	0	2.85E-05	0	0.557841377	0	0	0	0.002475899	0.011766995	0	0	0	0	0.139461944	0.011534295	0	0	0	0	0	0.002915999	0	0	0.0004215	0	0	0	0	0.0005175	7.08E-05	0.002237399	0.013002795	0.0011187	0.002308999	0	0.000339	0.0009204	0	0.001377799	0	0.000175	0.004968998	0.070471772	0	0	0.012358095	0	0	3.18E-05	0	0	0.037262285	0.001699399	0.0006782	0.051804079	0.004501398	0.006408097	0	0	0.0004943	0	0	0	0.0007863	0.0003923	0.002275499	0.0005359	0	0	0.013487895	0	0.002621799	0	0	0	0	0.0003482	0	0.0004719	0	0	0	0	0	0	0	0	0	0.007488597	0.0012226	0.000252	0.001806299	0	0.0001664	0.023680391	0
S2270	0	0	0.010569898	0	0	0.0003897	0	0	0.044570091	0	0	0	0.0007804	0.0024437	0.128853374	0	0.017656396	0	0.0002895	0.024128795	0.0001227	0	0.0019802	0.554244589	0.004693699	0.003299299	0	0	0	0.0001583	0	0.021717896	0	0	0.010597298	0	0	0	0	0.0003763	0	0	0.045079091	0.004530799	0.007967898	0.003886999	0.0024094	0.003486899	0	0.0001325	0	0.0003612	0.0017979	0.032358994	0	0	0.006666499	0	0	0	0	0	0.017695196	0.0003852	0.003651199	0.0001739	0.017589396	0.002737199	0	0	0	0	0	0	0.000296	0.006294999	0.0013139	0	0	0	0	0	0.009651598	0	0	0	0	0.0004751	0	0	0	0	0	0	0	0	0	0	0	0	0.0015061	0	0.002635899	0	0	0	0
S2289	0	0	0.056821889	0	0	0	0	0	0.014073897	0.0007543	0.0007862	0.0009655	0.0007334	0	0.114824577	0	0.010389498	7.20E-06	0	0.011221298	0.0003188	0	0	0.0008083	0.020742096	0.013059797	0	0	0	0	0	0.0010138	0.0001373	0.0001485	7.82E-05	0.0002185	0.0002249	0	0	0	0	0	0.025614495	0.014149097	0.008234098	0	0.010764098	0.009110498	0.0005194	0.017229397	0.0010609	0	0.033653293	0.008308698	0.0002287	1.88E-05	0.015888497	0	1.51E-05	0.0002523	0.0007456	0.0009722	0.024156695	0.0009696	5.20E-06	0.001032	0.443772311	0.022088796	0	0	3.62E-05	0.003581799	0	0	0.0001569	0	0.012573497	0	0	0	0.013486097	0	0.0002494	1.77E-05	0.0002363	0.0001001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004614999	0	0	0	0	0.078765484	1.12E-05
S2345	0	0	0.0010297	0	0	0	0	0	0.0006705	0	0	3.72E-05	0	0	0.4903051	0	0.0048909	0.0018346	0.0001833	0.0042994	0	0	0.0022488	0.333528	0.0892746	0.0211656	0	0	0	0	0	0.0002539	0	0	0.0004315	0	0	0	0	0.0004134	0	0	0.0024682	0.0002396	0.0023903	0	0.0006168	0.0015958	0	0.0002255	0	1.77E-05	0.0006173	0.0092908	0	0	0.0020515	0	0	0	0	0.0050123	0.0175575	0.0010483	0.0010835	0	8.80E-06	0.0008118	0	0	0	0	0	0	0	0	0.0030677	0.0008479	0	0	0	0	0	0	0	0	0	0	0	0	0.000363	0	0	0	0	0	0	0	0	0	0	0	0	0	4.97E-05	0	0
S2429	0	0	0.0279982	0	0.0001137	0.0001589	0	0	0.0076936	2.39E-05	0	4.40E-05	0.0001984	0	0.6120761	0	0.0407363	0.0004019	2.55E-05	0.0086422	0.0002878	0	0	0.0039719	0.0629174	0.0363087	0	0	0	0	0	0.0067591	0	1.02E-05	0.0004334	0.0003482	0	0	0	5.70E-05	8.26E-05	0.0106643	0.015678	0.0015213	0.0019216	0.0024387	0.0004927	0.0028883	8.78E-05	0.0010716	0	0	0.0125953	0.0073983	0	0	0.0034684	0	0	8.40E-06	0.0001372	0	0.021089	0.0021921	0.000246	0.0162308	0.001675	0.0101305	0	0	0.0002287	0	0	0	0.0004979	0.0001994	0.002401	0.0026531	0	0	0	0	0	8.61E-05	0	1.56E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072074	0	0.000502	0	0	0.0001102	0
S2452	0	0	0.0094743	0	0	0.000105	0	0	0.0018258	1.12E-05	0	0	0.0005454	0	0.4457095	0	0	0.0026448	0.0007807	0.016073	1.47E-05	0	0.0069608	0.0001751	0.1184024	0.0118758	0	0	0	0.000169	0	0.0010365	0	0	0.0036567	0	0	0	0	4.20E-05	1.16E-05	0	0.0119849	0.0001583	0.0002379	0.0004048	0.0005921	0.0002781	0	0.000732	3.65E-05	0.000388	0.0007456	0.1404947	0	0	0.0098025	0.000454	0	0.0002488	0	0	0.0090084	0.0007052	0.001221	0.1374251	0.0152536	0.0065683	0	0	0.0002604	0	0	4.20E-05	0	0	0.0042927	0.00026	0	4.39E-05	0.0125566	0	0.0003821	0	0	0	0	0	0	0	0.0001218	0	5.76E-05	0	0	0	0	0	0	0	0.0210497	0	0.0001415	0	0.0008546	0.003683	0
